name: Cisco-IOS-XR-fib-common-oper:mpls-forwarding/nodes/node/label-fib/forwarding-details/forwarding-detail
time                     source label_value label_information/outgoing_label label_information/outgoing_physical_interface label_information/tx_bytes
2021-03-18T20:35:16.974Z R02    100103      1048580                          Gi0/0/0/2                                     4711266
2021-03-18T20:35:46.818Z R02    100103      1048580                          Gi0/0/0/2                                     4762387
2021-03-18T20:35:46.881Z R02    100103      1048580                          Gi0/0/0/2                                     4762387
2021-03-18T20:36:16.832Z R02    100103      1048580                          Gi0/0/0/2                                     4816063
2021-03-18T20:36:16.926Z R02    100103      1048580                          Gi0/0/0/2                                     4816063
2021-03-18T20:36:46.848Z R02    100103      1048580                          Gi0/0/0/2                                     4865798
2021-03-18T20:36:46.912Z R02    100103      1048580                          Gi0/0/0/2                                     4865798
2021-03-18T20:37:16.837Z R02    100103      1048580                          Gi0/0/0/2                                     4921574
2021-03-18T20:37:16.901Z R02    100103      1048580                          Gi0/0/0/2                                     4921574
2021-03-18T20:37:46.827Z R02    100103      1048580                          Gi0/0/0/2                                     4971645
2021-03-18T20:37:46.892Z R02    100103      1048580                          Gi0/0/0/2                                     4971645
2021-03-18T20:38:16.874Z R02    100103      1048580                          Gi0/0/0/2                                     5022465
2021-03-18T20:38:16.931Z R02    100103      1048580                          Gi0/0/0/2                                     5022465
2021-03-18T20:38:46.83Z  R02    100103      1048580                          Gi0/0/0/2                                     5073712
2021-03-18T20:38:46.896Z R02    100103      1048580                          Gi0/0/0/2                                     5073712
2021-03-18T20:39:16.793Z R02    100103      1048580                          Gi0/0/0/2                                     5120710
2021-03-18T20:39:16.848Z R02    100103      1048580                          Gi0/0/0/2                                     5120710
2021-03-18T20:39:46.869Z R02    100103      1048580                          Gi0/0/0/2                                     5171974
2021-03-18T20:39:46.95Z  R02    100103      1048580                          Gi0/0/0/2                                     5171974
2021-03-18T20:40:16.827Z R02    100103      1048580                          Gi0/0/0/2                                     5223382
2021-03-18T20:40:16.892Z R02    100103      1048580                          Gi0/0/0/2                                     5223382
2021-03-18T20:40:46.803Z R02    100103      1048580                          Gi0/0/0/2                                     5271395
2021-03-18T20:40:46.871Z R02    100103      1048580                          Gi0/0/0/2                                     5271395
2021-03-18T20:41:16.88Z  R02    100103      1048580                          Gi0/0/0/2                                     5313773
2021-03-18T20:41:16.971Z R02    100103      1048580                          Gi0/0/0/2                                     5313773
2021-03-18T20:41:46.836Z R02    100103      1048580                          Gi0/0/0/2                                     5361702
2021-03-18T20:41:46.901Z R02    100103      1048580                          Gi0/0/0/2                                     5361702
2021-03-18T20:42:16.826Z R02    100103      1048580                          Gi0/0/0/2                                     5405382
2021-03-18T20:42:16.891Z R02    100103      1048580                          Gi0/0/0/2                                     5405382
2021-03-18T20:42:46.844Z R02    100103      1048580                          Gi0/0/0/2                                     5456797
2021-03-18T20:42:46.915Z R02    100103      1048580                          Gi0/0/0/2                                     5456797
2021-03-18T20:43:16.807Z R02    100103      1048580                          Gi0/0/0/2                                     5504383
2021-03-18T20:43:16.871Z R02    100103      1048580                          Gi0/0/0/2                                     5504383
2021-03-18T20:43:46.83Z  R02    100103      1048580                          Gi0/0/0/2                                     5557579
2021-03-18T20:43:46.889Z R02    100103      1048580                          Gi0/0/0/2                                     5557579
2021-03-18T20:44:16.86Z  R02    100103      1048580                          Gi0/0/0/2                                     5608231
2021-03-18T20:44:16.919Z R02    100103      1048580                          Gi0/0/0/2                                     5608231
2021-03-18T20:44:46.833Z R02    100103      1048580                          Gi0/0/0/2                                     5664980
2021-03-18T20:44:46.914Z R02    100103      1048580                          Gi0/0/0/2                                     5664980
2021-03-18T20:45:16.859Z R02    100103      1048580                          Gi0/0/0/2                                     5718614
2021-03-18T20:45:16.935Z R02    100103      1048580                          Gi0/0/0/2                                     5718614
2021-03-18T20:45:46.822Z R02    100103      1048580                          Gi0/0/0/2                                     5766753
2021-03-18T20:45:46.888Z R02    100103      1048580                          Gi0/0/0/2                                     5766753
2021-03-18T20:46:16.843Z R02    100103      1048580                          Gi0/0/0/2                                     5815767
2021-03-18T20:46:16.908Z R02    100103      1048580                          Gi0/0/0/2                                     5815767
2021-03-18T20:46:46.804Z R02    100103      1048580                          Gi0/0/0/2                                     5862268
2021-03-18T20:46:46.869Z R02    100103      1048580                          Gi0/0/0/2                                     5862268
2021-03-18T20:47:16.806Z R02    100103      1048580                          Gi0/0/0/2                                     5922832
2021-03-18T20:47:16.868Z R02    100103      1048580                          Gi0/0/0/2                                     5922832
2021-03-18T20:47:46.837Z R02    100103      1048580                          Gi0/0/0/2                                     5965763
2021-03-18T20:47:46.895Z R02    100103      1048580                          Gi0/0/0/2                                     5965763
2021-03-18T20:48:16.838Z R02    100103      1048580                          Gi0/0/0/2                                     6029309
2021-03-18T20:48:16.924Z R02    100103      1048580                          Gi0/0/0/2                                     6029309
2021-03-18T20:48:46.853Z R02    100103      1048580                          Gi0/0/0/2                                     6081648
2021-03-18T20:48:46.919Z R02    100103      1048580                          Gi0/0/0/2                                     6081648
2021-03-18T20:49:16.825Z R02    100103      1048580                          Gi0/0/0/2                                     6134274
2021-03-18T20:49:16.882Z R02    100103      1048580                          Gi0/0/0/2                                     6134274
2021-03-18T20:49:46.852Z R02    100103      1048580                          Gi0/0/0/2                                     6186697
2021-03-18T20:49:46.919Z R02    100103      1048580                          Gi0/0/0/2                                     6186697
2021-03-18T20:50:16.829Z R02    100103      1048580                          Gi0/0/0/2                                     6231973
2021-03-18T20:50:16.893Z R02    100103      1048580                          Gi0/0/0/2                                     6231973
2021-03-18T20:50:46.844Z R02    100103      1048580                          Gi0/0/0/2                                     6281918
2021-03-18T20:50:46.914Z R02    100103      1048580                          Gi0/0/0/2                                     6281918
2021-03-18T20:51:16.803Z R02    100103      1048580                          Gi0/0/0/2                                     6332402
